INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
Alabama A & M University,Normal,AL,3,1,12,410,400,NULL,17,17,17,NULL,823,0,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0084,0.0622,13415,NULL,0.7115,0.6314,NULL,0.5,NULL,0.8204,0.1049,33611.5,373.1565536,0.44471387,0.308718313,NULL,31400,0.462298036
University of Alabama at Birmingham,Birmingham,AL,3,1,12,580,585,NULL,25,26,23,NULL,1146,0,11200,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.013,0.2579,14805,NULL,0.3505,0.8016,NULL,0.5,NULL,0.5397,0.2422,23117,256.6460899,0.756266667,0.508549808,NULL,40300,0.660484493
Amridge University,Montgomery,AL,3,2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,322,0.2919,0.4224,0.0093,0.0031,0.0031,0.0031,0,0,0.2671,0.3727,NULL,7455,0.6839,0.375,NULL,0.3333,NULL,0.7629,0.854,PrivacySuppressed,PrivacySuppressed,0.647249191,PrivacySuppressed,NULL,38100,0.646666646
University of Alabama in Huntsville,Huntsville,AL,3,1,12,575,580,NULL,26,26,25,NULL,1180,0,5525,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.0338,0.2395,17520,NULL,0.3281,0.8098,NULL,0.4444,NULL,0.4728,0.264,24738,274.6425129,0.781997919,0.478211346,NULL,46600,0.660565734
Alabama State University,Montgomery,AL,3,1,12,430,425,NULL,17,17,17,NULL,830,0,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,0.0902,11936,NULL,0.8265,0.6219,NULL,0.3023,NULL,0.8735,0.127,33452,371.3857766,0.331198862,0.257481955,NULL,27800,0.342225611
The University of Alabama,Tuscaloosa,AL,3,1,13,555,570,540,26,27,25,7,1171,0,28692,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,0.021,0.0278,0.0028,0.0852,20916,NULL,0.2107,0.87,NULL,0.6563,NULL,0.4148,0.0853,24000,266.4492,0.8139413,0.666009354,NULL,42400,0.661085427
Central Alabama Community College,Alexander City,AL,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1779,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,0.0006,0.0011,0.0079,0.466,6407,NULL,0.6515,NULL,0.4267,NULL,0.4159,0.4777,0.3153,PrivacySuppressed,PrivacySuppressed,0.438401776,NULL,0.289189362,27100,0.446135819
Athens State University,Athens,AL,3,1,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2999,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,0.0133,0.007,0.0764,0.5502,NULL,NULL,0.4107,NULL,NULL,NULL,NULL,0.6277,0.641,18832,209.0738056,0.767649075,NULL,NULL,39700,0.652219892
Auburn University at Montgomery,Montgomery,AL,3,1,12,NULL,NULL,NULL,21,21,20,NULL,970,0,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,0,0.0435,0.0641,0.3061,11915,NULL,0.4006,0.6321,NULL,0.4545,NULL,0.6476,0.2938,21791,241.9247716,0.628856194,0.285309228,NULL,34800,0.554537117
Auburn University,Auburn University,AL,3,1,13,570,595,565,27,28,26,7,1215,0,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,0,0.0074,0.0127,0.0902,17541,NULL,0.1687,0.8946,NULL,0.8529,NULL,0.361,0.0415,22250,247.0206125,0.882455377,0.680930242,NULL,45400,0.709142148
