NAME OF DATA ELEMENT,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Institution name,INSTNM,,,IPEDS,
City,CITY,,,IPEDS,
"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",PREDDEG,0,Not classified,IPEDS,
,,1,Predominantly certificate-degree granting,,
,,2,Predominantly associate's-degree granting,,
,,3,Predominantly bachelor's-degree granting,,
,,4,Entirely graduate-degree granting,,
"Highest degree awarded
0        Non-degree-granting
1        Certificate degree
2        Associate degree
3        Bachelor's degree
4        Graduate degree",HIGHDEG,0,Non-degree-granting,IPEDS,
,,1,Certificate degree,,
,,2,Associate degree,,
,,3,Bachelor's degree,,
,,4,Graduate degree,,
Control of institution,CONTROL,1,Public,IPEDS,
,,2,Private nonprofit,,
,,3,Private for-profit,,
Locale of institution,LOCALE,11,"City: Large (population of 250,000 or more)",IPEDS,
,,12,"City: Midsize (population of at least 100,000 but less than 250,000)",,
,,13,"City: Small (population less than 100,000)",,
,,21,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)",,
,,22,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)",,
,,23,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)",,
,,31,Town: Fringe (in urban cluster up to 10 miles from an urbanized area),,
,,32,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area),,
,,33,Town: Remote (in urban cluster more than 35 miles from an urbanized area),,
,,41,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster),,
,,42,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster),,
,,43,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster),,
Midpoint of SAT scores at the institution (critical reading),SATVRMID,,,IPEDS,
Midpoint of SAT scores at the institution (math),SATMTMID,,,IPEDS,
Midpoint of SAT scores at the institution (writing),SATWRMID,,,IPEDS,
Midpoint of the ACT cumulative score,ACTCMMID,,,IPEDS,
Midpoint of the ACT English score,ACTENMID,,,IPEDS,
Midpoint of the ACT math score,ACTMTMID,,,IPEDS,
Midpoint of the ACT writing score,ACTWRMID,,,IPEDS,
Average SAT equivalent score of students admitted,SAT_AVG,,,IPEDS,
Flag for distance-education-only education,DISTANCEONLY,0,Not distance-education only,IPEDS,
,,1,Distance-education only,,
Enrollment of undergraduate degree-seeking students,UGDS, ,,IPEDS,"To be bucketed into size categories (College Navigator: <2k, 2-15k, >15k)"
Enrollment of all undergraduate students,UG,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are white,UGDS_WHITE,,,IPEDS,Not before 2009
