INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,gt_25k_05_p6
Black Hawk College,Moline,IL,2,1,13.0,,,,,,,,,0.0,4736.0,0.7145,0.1039,0.1153,0.0133,0.0017,0.0008,0.0281,0.0046,0.0177,0.4886,5503.0,,0.3426,,0.5873,,0.3814,0.1303,0.3742,6375,70.77556875,0.725090036,,0.2392,29000.0,0.450946629,0.0
Lees School of Cosmetology,North Little Rock,AR,1,3,13.0,,,,,,,,,0.0,27.0,0.7778,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12018.0,0.6486,,0.5556,,,0.4865,0.5185,,,0.209302326,,0.606751685,,,
Cosmetology Schools Inc,Stillwater,OK,1,3,32.0,,,,,,,,,0.0,18.0,0.8333,0.1111,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,,7575.0,0.5357,,0.7273,,,0.6607,0.2222,,,0.358490566,,0.88713871,,,
Bryant & Stratton College-Buffalo,Buffalo,NY,2,3,11.0,,,,,,,,,0.0,716.0,0.162,0.6759999999999999,0.0922,0.0,0.0056,0.0,0.0307,0.0014,0.0321,0.3729,,14866.0,0.8859,,,,,0.894,0.5851,24260.5,269.341284,0.307965432,0.140276471,,22300.0,0.406369179,0.0
Holy Apostles College and Seminary,Cromwell,CT,3,2,21.0,,,,,,,,,0.0,48.0,0.4583,0.0208,0.0833,0.0625,0.0,0.0,0.0,0.3333,0.0417,0.2708,,14420.0,0.2407,0.8571,,1.0,,0.3333,0.7241,,,,,,,,
University of Houston,Houston,TX,3,1,11.0,550.0,590.0,,25.0,24.0,25.0,,1136.0,0.0,30357.0,0.2843,0.1155,0.2998,0.2122,0.0015,0.0026,0.0311,0.0464,0.0067,0.2596,12822.0,,0.3879,0.8463,,0.7042,,0.4299,0.1935,20426,226.7704733,0.788099852,0.468494619,,48300.0,0.724969447,1.0
Stratford University,Fairfax,VA,2,3,21.0,,,,,,,,,0.0,2271.0,0.2175,0.6112,0.063,0.0392,0.0026,0.0026,0.0114,0.0053,0.0471,0.8098,,25221.0,0.6556,0.6279,,0.5677,,0.7676,0.7007,31550.5,350.2752285,0.525754885,0.13336,,36800.0,0.595469236,1.0
Appalachian Beauty School,South Williamson,KY,1,3,33.0,,,,,,,,,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7118.0,1.0,,0.6667,,,0.0,0.4211,,,,,0.756732432,,,
ITT Technical Institute-Springfield,Springfield,IL,0,3,12.0,,,,,,,,,0.0,202.0,0.6188,0.297,0.0347,0.0,0.0099,0.0,0.0297,0.0,0.0099,0.1386,,21437.0,0.8476,,,,,0.8762,0.6287,25833.5,286.8048087,0.394119686,,,,,
Universidad Adventista de las Antillas,Mayaguez,PR,3,2,22.0,,,,,,,,,0.0,1261.0,0.0071,0.0111,0.9524,0.0008,0.0,0.0,0.0,0.0285,0.0,0.0571,,7829.0,0.8195,0.8382,,1.0,,0.8896,0.223,15000,166.53075,0.577639752,0.312336909,,21600.0,0.367647052,0.0
Lake Technical Center,Eustis,FL,1,1,22.0,,,,,,,,,0.0,637.0,0.7253,0.1381,0.0942,0.0157,0.0031,0.0,0.0235,0.0,0.0,0.3281,8427.0,,0.3047,,0.7561,,0.7018,0.0,0.4851,,,,,0.716603901,24100.0,0.516666651,1.0
Trocaire College,Buffalo,NY,2,2,11.0,,,,,,,,,0.0,1384.0,0.6864,0.1474,0.0347,0.0123,0.0116,0.0014,0.0029,0.0022,0.1012,0.5123,,18159.0,0.5364,,,,,0.8129,0.4933,21439,238.01685,0.654676259,0.288894074,,36100.0,0.633699656,1.0
Saint Johns University,Collegeville,MN,3,2,41.0,543.0,553.0,518.0,26.0,24.0,26.0,7.0,1155.0,0.0,1871.0,0.8263,0.0315,0.0433,0.0294,0.0086,0.0021,0.0064,0.0524,0.0,0.0112,,22866.0,0.1947,0.8552,,,,0.6095,0.0059,27000,299.75535,0.963286713,0.782816438,,55900.0,0.798701286,1.0
Career Center of Southern Illinois,Red Bud,IL,1,1,42.0,,,,,,,,,0.0,90.0,0.6222,0.3222,0.0,0.0,0.0222,0.0,0.0,0.0,0.0333,0.0,16832.0,,0.5379999999999999,,1.0,,,0.6087,0.5556,14031.5,155.7784146,0.548076923,,0.833333333,40500.0,0.736842096,1.0
Acaydia School of Aesthetics,Provo,UT,1,3,12.0,,,,,,,,,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,,17680.0,0.3333,,1.0,,,0.359,,5500,61.061275,,,0.766241558,,,
Acadiana Technical College-Lafayette Campus,Lafayette,LA,1,1,12.0,,,,,,,,,0.0,1713.0,0.502,0.3987,0.0181,0.0128,0.0018,0.0018,0.0193,0.0047,0.0409,0.2878,7252.0,,0.4377,,0.6132,,0.4147,0.0,0.22699999999999998,,,,,0.480894607,27000.0,0.419159412,0.0
University of Central Missouri,Warrensburg,MO,3,1,32.0,,,,21.0,21.0,21.0,7.0,990.0,0.0,9160.0,0.6675,0.0823,0.0257,0.0074,0.0028,0.001,0.0245,0.0245,0.1644,0.1047,14903.0,,0.3814,0.6884,,0.12,,0.6299,0.1635,23450,260.3430725,0.790558871,0.511101774,,36600.0,0.630711615,1.0
Riverland Community College,Austin,MN,1,1,32.0,,,,,,,,,0.0,2509.0,0.8047,0.0482,0.0961,0.0112,0.0028,0.0008,0.0211,0.0143,0.0008,0.5281,10217.0,,0.3757,,0.594,,0.4589,0.4054,0.4371,,,0.624085163,,0.334042206,32000.0,0.555977225,1.0
Methodist College,Peoria,IL,3,2,12.0,,,,22.0,23.0,22.0,,1030.0,0.0,508.0,0.8346,0.0827,0.0236,0.0276,0.002,0.002,0.0236,0.0,0.0039,0.311,,29545.0,0.4716,0.6786,,,,0.8542,0.4173,30250,335.8370125,0.932835821,,,,,
Bradford School,Columbus,OH,2,3,21.0,,,,,,,,,0.0,449.0,0.6771,0.11800000000000001,0.0156,0.0045,0.0022,0.0022,0.0379,0.0,0.1425,0.0,,18710.0,0.6259,,0.8051,,,0.9426,0.245,14733,163.5665027,0.75282167,,0.723749872,25000.0,0.364116102,0.0
Texas Christian University,Fort Worth,TX,3,2,11.0,580.0,600.0,590.0,27.0,,,,1206.0,0.0,8597.0,0.738,0.0512,0.1059,0.0224,0.0098,0.0026,0.0077,0.0455,0.017,0.0335,,31257.0,0.1447,0.9021,,1.0,,0.3421,0.0521,22500,249.796125,0.91053787,0.756035619,,49100.0,0.783637583,1.0
Dewey University-Fajardo,Fajardo,PR,1,2,23.0,,,,,,,,,0.0,188.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7321.0,0.9495,,0.6885,,,0.0,0.5638,,,,,0.76897386,16200.0,0.20184578,0.0
Amherst College,Amherst,MA,3,2,21.0,715.0,725.0,715.0,32.0,33.0,32.0,,1434.0,0.0,1785.0,0.4174,0.1165,0.1283,0.1255,0.0011,0.0,0.055999999999999994,0.0958,0.0594,0.0,,19449.0,0.1998,0.9762,,,,0.1321,0.0123,11185.5,124.1819803,0.926701571,0.952425,,56800.0,0.663461566,1.0
Margaret's Hair Academy Inc,Monticello,AR,1,3,33.0,,,,,,,,,0.0,65.0,0.5846,0.3077,0.0769,0.0154,0.0,0.0,0.0,0.0,0.0154,0.0,,10884.0,0.9634,,0.6923,,,0.5854,0.3077,4786,53.1344113,0.777777778,,0.555564444,,,
